Model,Split,Accuracy,Macro_F1,Weighted_F1,Precision_Macro,Recall_Macro
Logistic Regression,val,0.7172155544887182,0.3734829868123239,0.7971383031288004,0.30336663470308844,0.7837014014412411
Random Forest,val,0.9855784925588094,0.8750656993114815,0.9851904684799129,0.9145653739431585,0.8443843977327393
XGBoost,val,0.9784349495919347,0.8342804648770688,0.9777899948818414,0.8861714891567285,0.7999313443338465
Logistic Regression,test,0.7186880712804363,0.3692701536128098,0.7979920406477797,0.2998796466696746,0.7716741709513405
Random Forest,test,0.9854366694830632,0.8826349092295418,0.9849611775182932,0.9188605162456012,0.8597685383223487
XGBoost,test,0.9786465934403564,0.8456225120311099,0.9780369438536578,0.8841271577446073,0.826128019145736
